"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008380","GO:0008380","RNA splicing","55/256","482/18805",0.114107883817427,8.38202638744813,19.2879323835748,5.90757967167336e-35,1.12597767560087e-31,1.00519213722447e-31,"HNRNPA2B1/DHX9/KHSRP/HNRNPK/HNRNPU/HNRNPH1/SNRNP200/NCL/DDX17/DDX39B/HNRNPR/DDX5/SRRM2/SYNCRIP/HNRNPC/HNRNPUL2/DHX15/SF3B2/YBX1/DDX1/SF3B3/EIF4A3/HNRNPUL1/THRAP3/CCAR2/ALYREF/EFTUD2/U2AF2/SF3A1/PUF60/RBM4/RBM39/SART3/SRSF10/SNRPD3/HNRNPLL/SRSF6/SART1/NUP98/POLR2A/SNRPA1/SF3A3/RBM10/LUC7L3/SON/ZNF326/MAGOHB/PRPF4/SRSF5/TRA2A/SNRPD1/SF3B4/SRSF11/SF3B5/SNRPE",55
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","48/256","340/18805",0.141176470588235,10.3704044117647,20.4836803773801,8.3436656213477e-35,1.12597767560087e-31,1.00519213722447e-31,"HNRNPA2B1/DHX9/KHSRP/HNRNPK/HNRNPU/HNRNPH1/SNRNP200/NCL/DDX17/DDX39B/HNRNPR/DDX5/SRRM2/SYNCRIP/HNRNPC/HNRNPUL2/DHX15/SF3B2/DDX1/SF3B3/EIF4A3/HNRNPUL1/THRAP3/EFTUD2/U2AF2/SF3A1/PUF60/RBM4/RBM39/SART3/SRSF10/SNRPD3/SRSF6/SART1/NUP98/SNRPA1/SF3A3/RBM10/LUC7L3/SON/MAGOHB/PRPF4/SRSF5/TRA2A/SNRPD1/SF3B4/SF3B5/SNRPE",48
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","47/256","336/18805",0.139880952380952,10.2752394903274,20.1538458951158,6.8797828375234e-34,4.64213346961891e-31,4.14416392502396e-31,"HNRNPA2B1/DHX9/HNRNPK/HNRNPU/HNRNPH1/SNRNP200/NCL/DDX17/DDX39B/HNRNPR/DDX5/SRRM2/SYNCRIP/HNRNPC/HNRNPUL2/DHX15/SF3B2/DDX1/SF3B3/EIF4A3/HNRNPUL1/THRAP3/EFTUD2/U2AF2/SF3A1/PUF60/RBM4/RBM39/SART3/SRSF10/SNRPD3/SRSF6/SART1/NUP98/SNRPA1/SF3A3/RBM10/LUC7L3/SON/MAGOHB/PRPF4/SRSF5/TRA2A/SNRPD1/SF3B4/SF3B5/SNRPE",47
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","47/256","336/18805",0.139880952380952,10.2752394903274,20.1538458951158,6.8797828375234e-34,4.64213346961891e-31,4.14416392502396e-31,"HNRNPA2B1/DHX9/HNRNPK/HNRNPU/HNRNPH1/SNRNP200/NCL/DDX17/DDX39B/HNRNPR/DDX5/SRRM2/SYNCRIP/HNRNPC/HNRNPUL2/DHX15/SF3B2/DDX1/SF3B3/EIF4A3/HNRNPUL1/THRAP3/EFTUD2/U2AF2/SF3A1/PUF60/RBM4/RBM39/SART3/SRSF10/SNRPD3/SRSF6/SART1/NUP98/SNRPA1/SF3A3/RBM10/LUC7L3/SON/MAGOHB/PRPF4/SRSF5/TRA2A/SNRPD1/SF3B4/SF3B5/SNRPE",47
"GO:0006403","GO:0006403","RNA localization","31/256","206/18805",0.150485436893204,11.054213440534,17.0459718493243,1.71039713884034e-23,9.23272375546015e-21,8.24231379116955e-21,"HNRNPA2B1/DHX9/KHSRP/HNRNPU/RUVBL2/DDX39B/TPR/LRPPRC/YBX1/RUVBL1/XPO1/EIF4A3/ALYREF/CAPRIN1/SARNP/FBL/NOP58/NUP93/DDX19B/NUP98/NUP214/NUP133/MAGOHB/NUP88/NUP35/RFTN2/RAE1/NUP205/RANBP2/NUP160/TOMM20",31
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","41/256","494/18805",0.0829959514170041,6.09663619686235,13.4857756593603,9.58886267553045e-21,4.31339006020945e-18,3.85068537969986e-18,"PRKDC/DHX9/SNRNP200/DDX17/RUVBL2/DDX39B/RPSA/SF3B2/RUVBL1/XPO1/DDX1/SF3B3/EIF4A3/U2AF2/SF3A1/PUF60/EIF4H/NOP56/SART3/SRSF10/FBL/NOP58/SNRPD3/EIF3F/SRSF6/EIF5B/PELP1/SART1/SNRPA1/SF3A3/RBM10/LUC7L3/TRMT112/NUP88/SRSF5/SNRPD1/SF3B4/SF3B5/SNRPE/EIF3K/GAR1",41
"GO:0022618","GO:0022618","protein-RNA complex assembly","29/256","228/18805",0.12719298245614,9.3432188870614,14.8901174657886,6.08945834041894e-20,2.34792115154153e-17,2.09605566033368e-17,"PRKDC/DHX9/SNRNP200/RUVBL2/DDX39B/RPSA/SF3B2/RUVBL1/DDX1/SF3B3/U2AF2/SF3A1/PUF60/EIF4H/SART3/SRSF10/SNRPD3/EIF3F/SRSF6/SART1/SNRPA1/SF3A3/LUC7L3/SRSF5/SNRPD1/SF3B4/SF3B5/SNRPE/EIF3K",29
"GO:0071826","GO:0071826","protein-RNA complex organization","29/256","237/18805",0.122362869198312,8.98841310654008,14.5390817377214,1.81085274265458e-19,6.1093644405309e-17,5.45400253675835e-17,"PRKDC/DHX9/SNRNP200/RUVBL2/DDX39B/RPSA/SF3B2/RUVBL1/DDX1/SF3B3/U2AF2/SF3A1/PUF60/EIF4H/SART3/SRSF10/SNRPD3/EIF3F/SRSF6/SART1/SNRPA1/SF3A3/LUC7L3/SRSF5/SNRPD1/SF3B4/SF3B5/SNRPE/EIF3K",29
"GO:0050657","GO:0050657","nucleic acid transport","25/256","165/18805",0.151515151515152,11.129853219697,15.3534869410616,3.30825771370394e-19,8.92898756928692e-17,7.97115990175612e-17,"HNRNPA2B1/DHX9/KHSRP/DDX39B/TPR/LRPPRC/YBX1/XPO1/EIF4A3/ALYREF/SARNP/NUP93/DDX19B/NUP98/NUP214/NUP133/MAGOHB/NUP88/NUP35/RFTN2/RAE1/NUP205/RANBP2/NUP160/TOMM20",25
"GO:0050658","GO:0050658","RNA transport","25/256","165/18805",0.151515151515152,11.129853219697,15.3534869410616,3.30825771370394e-19,8.92898756928692e-17,7.97115990175612e-17,"HNRNPA2B1/DHX9/KHSRP/DDX39B/TPR/LRPPRC/YBX1/XPO1/EIF4A3/ALYREF/SARNP/NUP93/DDX19B/NUP98/NUP214/NUP133/MAGOHB/NUP88/NUP35/RFTN2/RAE1/NUP205/RANBP2/NUP160/TOMM20",25
"GO:0051236","GO:0051236","establishment of RNA localization","25/256","168/18805",0.148809523809524,10.9311058407738,15.1896966926235,5.19178926991878e-19,1.27387629450098e-16,1.13722541998508e-16,"HNRNPA2B1/DHX9/KHSRP/DDX39B/TPR/LRPPRC/YBX1/XPO1/EIF4A3/ALYREF/SARNP/NUP93/DDX19B/NUP98/NUP214/NUP133/MAGOHB/NUP88/NUP35/RFTN2/RAE1/NUP205/RANBP2/NUP160/TOMM20",25
"GO:0051028","GO:0051028","mRNA transport","22/256","136/18805",0.161764705882353,11.8827550551471,14.9634809125552,1.15340803740479e-17,2.59420691079626e-15,2.31592192773645e-15,"HNRNPA2B1/DHX9/KHSRP/DDX39B/TPR/LRPPRC/XPO1/EIF4A3/ALYREF/SARNP/NUP93/DDX19B/NUP98/NUP214/NUP133/MAGOHB/NUP88/NUP35/RAE1/NUP205/RANBP2/NUP160",22
