"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005681","GO:0005681","spliceosomal complex","34/261","208/19880",0.163461538461538,12.4506336575302,19.1476736563048,2.05389195997333e-27,8.70850191028693e-25,6.46435469507396e-25,"HNRNPA2B1/HNRNPK/HNRNPU/HNRNPH1/SNRNP200/NCL/DDX39B/HNRNPR/DDX5/SRRM2/SYNCRIP/HNRNPC/DHX15/SF3B2/YBX1/SF3B3/EIF4A3/ALYREF/EFTUD2/U2AF2/SF3A1/SNRPD3/SART1/SNRPA1/SF3A3/LUC7L3/API5/MAGOHB/PRPF4/TRA2A/SNRPD1/SF3B4/SF3B5/SNRPE",34
"GO:0071013","GO:0071013","catalytic step 2 spliceosome","23/261","90/19880",0.255555555555556,19.4653043848446,20.2504144290508,1.41931260074488e-23,3.00894271357915e-21,2.23354982959326e-21,"HNRNPA2B1/HNRNPK/HNRNPU/HNRNPH1/SNRNP200/HNRNPR/DDX5/SRRM2/SYNCRIP/HNRNPC/SF3B2/SF3B3/EIF4A3/ALYREF/EFTUD2/SF3A1/SNRPD3/SART1/SNRPA1/SF3A3/MAGOHB/SNRPD1/SNRPE",23
"GO:0005684","GO:0005684","U2-type spliceosomal complex","20/261","95/19880",0.210526315789474,16.0354910264166,16.9430065235696,7.92027304746719e-19,1.1193985907087e-16,8.30933909190417e-17,"SNRNP200/SRRM2/DHX15/SF3B2/SF3B3/EIF4A3/EFTUD2/U2AF2/SF3A1/SNRPD3/SART1/SNRPA1/SF3A3/LUC7L3/MAGOHB/PRPF4/SNRPD1/SF3B4/SF3B5/SNRPE",20
"GO:0071005","GO:0071005","U2-type precatalytic spliceosome","16/261","50/19880",0.32,24.3739463601533,19.0868726154084,1.62300437140062e-18,1.47167112972207e-16,1.09242717921276e-16,"SNRNP200/SRRM2/SF3B2/SF3B3/EFTUD2/SF3A1/SNRPD3/SART1/SNRPA1/SF3A3/MAGOHB/PRPF4/SNRPD1/SF3B4/SF3B5/SNRPE",16
"GO:0016607","GO:0016607","nuclear speck","35/261","415/19880",0.0843373493975904,6.42385634491991,12.8790583150457,1.7354612378798e-18,1.47167112972207e-16,1.09242717921276e-16,"HNRNPU/DDX17/DDX39B/DDX5/SRRM2/DHX15/SF3B2/APEX1/PPP1CC/RBM14/EIF4A3/THRAP3/ALYREF/EFTUD2/U2AF2/SF3A1/RBM4/PSPC1/RBM39/YLPM1/SART3/SARNP/SRSF10/SRSF6/SART1/SNRPA1/SF3A3/RBM10/LUC7L3/API5/SON/PRPF4/SRSF5/RING1/SRSF11",35
"GO:0071011","GO:0071011","precatalytic spliceosome","16/261","52/19880",0.307692307692308,23.4364868847627,18.6851315384173,3.33717326067526e-18,2.35826910421052e-16,1.75055228937176e-16,"SNRNP200/SRRM2/SF3B2/SF3B3/EFTUD2/SF3A1/SNRPD3/SART1/SNRPA1/SF3A3/MAGOHB/PRPF4/SNRPD1/SF3B4/SF3B5/SNRPE",16
"GO:0097525","GO:0097525","spliceosomal snRNP complex","17/261","97/19880",0.175257731958763,13.3491329936406,14.062267217725,8.98050027232142e-15,5.43961730780612e-13,4.03784899462271e-13,"SNRNP200/DDX39B/SF3B2/SF3B3/EFTUD2/SF3A1/SART3/SNRPD3/SART1/SNRPA1/SF3A3/LUC7L3/PRPF4/SNRPD1/SF3B4/SF3B5/SNRPE",17
"GO:0030532","GO:0030532","small nuclear ribonucleoprotein complex","17/261","107/19880",0.158878504672897,12.1015504708705,13.2806193865324,4.90799991043137e-14,2.60123995252862e-12,1.9309104910776e-12,"SNRNP200/DDX39B/SF3B2/SF3B3/EFTUD2/SF3A1/SART3/SNRPD3/SART1/SNRPA1/SF3A3/LUC7L3/PRPF4/SNRPD1/SF3B4/SF3B5/SNRPE",17
"GO:0120114","GO:0120114","Sm-like protein family complex","17/261","119/19880",0.142857142857143,10.8812260536398,12.4697843617242,2.99629177874172e-13,1.4115863490961e-11,1.04782601385237e-11,"SNRNP200/DDX39B/SF3B2/SF3B3/EFTUD2/SF3A1/SART3/SNRPD3/SART1/SNRPA1/SF3A3/LUC7L3/PRPF4/SNRPD1/SF3B4/SF3B5/SNRPE",17
"GO:0098687","GO:0098687","chromosomal region","28/261","408/19880",0.0686274509803922,5.22725565321914,9.95090091079323,9.46078693436645e-13,4.01137366017138e-11,2.97765820355323e-11,"PRKDC/HNRNPA2B1/HNRNPU/XRCC6/PARP1/TPR/DDB1/APEX1/PPP1CC/MCM7/XPO1/TP53BP1/RCC2/CHD4/ALYREF/MCM2/SUGT1/SMARCA4/FEN1/BUB3/MCM5/NUP98/NUP133/RAD21/STAG2/ZNF207/NUP160/GAR1",28
