"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0017056","GO:0017056","structural constituent of nuclear pore","9/260","25/18639",0.36,25.8078461538462,14.7626593442006,2.92776323909681e-11,1.59855872854686e-08,1.27588840103798e-08,"TPR/NUP93/NUP98/NUP214/NUP133/NUP88/NUP35/NUP205/NUP160",9
"GO:0004386","GO:0004386","helicase activity","17/260","155/18639",0.109677419354839,7.86260545905707,10.2042781779989,5.94177854708314e-11,1.6221055433537e-08,1.29468227289075e-08,"DHX9/SNRNP200/XRCC6/DDX17/RUVBL2/DDX39B/DDX5/DHX15/RUVBL1/MCM7/DDX1/EIF4A3/CHD4/MCM2/SMARCA4/DDX19B/MCM5",17
"GO:0003697","GO:0003697","single-stranded DNA binding","15/260","121/18639",0.12396694214876,8.88699936427209,10.3522044363683,1.42269369470826e-10,2.58930252436903e-08,2.06664978810252e-08,"HNRNPA2B1/DHX9/HNRNPU/LRPPRC/PCBP2/HMGB1/YBX1/MCM7/SUB1/PCBP3/MCM2/TOP1/MCM5/RPA3/POLR2H",15
"GO:0140658","GO:0140658","ATP-dependent chromatin remodeler activity","16/260","158/18639",0.10126582278481,7.25959104186952,9.39803718646493,7.28328889751965e-10,9.94168934511433e-08,7.93495158835036e-08,"DHX9/SNRNP200/DDX17/RUVBL2/DDX39B/DDX5/DHX15/RUVBL1/MCM7/DDX1/EIF4A3/CHD4/MCM2/SMARCA4/DDX19B/MCM5",16
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA","18/260","210/18639",0.0857142857142857,6.14472527472527,8.91756615422996,9.49870938328727e-10,1.03725906465497e-07,8.27887512564406e-08,"DHX9/SNRNP200/XRCC6/DDX17/RUVBL2/DDX39B/DDX5/DHX15/RUVBL1/MCM7/DDX1/EIF4A3/CHD4/MCM2/TOP2B/SMARCA4/DDX19B/MCM5",18
"GO:0140713","GO:0140713","histone chaperone activity","16/260","164/18639",0.0975609756097561,6.99399624765478,9.17004688230184,1.26437019285581e-09,1.15057687549879e-07,9.18332034811061e-08,"DHX9/SNRNP200/DDX17/RUVBL2/DDX39B/DDX5/DHX15/RUVBL1/MCM7/DDX1/EIF4A3/CHD4/MCM2/DDX19B/MCM5/ANP32E",16
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","22/260","336/18639",0.0654761904761905,4.69388736263736,8.12676190338513,2.12632030375693e-09,1.50692675956537e-07,1.20275241654147e-07,"DHX9/SNRNP200/XRCC6/DDX17/RUVBL2/DDX39B/DDX5/DHX15/APEX1/RUVBL1/RPS3/MCM7/DDX1/EIF4A3/CHD4/MCM2/TOP1/TOP2B/SMARCA4/DDX19B/FEN1/MCM5",22
"GO:0000510","GO:0000510","H3-H4 histone complex chaperone activity","15/260","151/18639",0.0993377483443709,7.1213703515028,8.98292041308066,3.27420912483364e-09,1.50692675956537e-07,1.20275241654147e-07,"DHX9/SNRNP200/DDX17/RUVBL2/DDX39B/DDX5/DHX15/RUVBL1/MCM7/DDX1/EIF4A3/CHD4/MCM2/DDX19B/MCM5",15
"GO:0140584","GO:0140584","chromatin extrusion motor activity","15/260","151/18639",0.0993377483443709,7.1213703515028,8.98292041308066,3.27420912483364e-09,1.50692675956537e-07,1.20275241654147e-07,"DHX9/SNRNP200/DDX17/RUVBL2/DDX39B/DDX5/DHX15/RUVBL1/MCM7/DDX1/EIF4A3/CHD4/MCM2/DDX19B/MCM5",15
"GO:0140665","GO:0140665","ATP-dependent H3-H4 histone complex chaperone activity","15/260","151/18639",0.0993377483443709,7.1213703515028,8.98292041308066,3.27420912483364e-09,1.50692675956537e-07,1.20275241654147e-07,"DHX9/SNRNP200/DDX17/RUVBL2/DDX39B/DDX5/DHX15/RUVBL1/MCM7/DDX1/EIF4A3/CHD4/MCM2/DDX19B/MCM5",15
"GO:0140849","GO:0140849","ATP-dependent H2AZ histone chaperone activity","15/260","151/18639",0.0993377483443709,7.1213703515028,8.98292041308066,3.27420912483364e-09,1.50692675956537e-07,1.20275241654147e-07,"DHX9/SNRNP200/DDX17/RUVBL2/DDX39B/DDX5/DHX15/RUVBL1/MCM7/DDX1/EIF4A3/CHD4/MCM2/DDX19B/MCM5",15
"GO:0015616","GO:0015616","DNA translocase activity","15/260","152/18639",0.0986842105263158,7.07451923076923,8.9438781424876,3.58792085610802e-09,1.50692675956537e-07,1.20275241654147e-07,"DHX9/SNRNP200/DDX17/RUVBL2/DDX39B/DDX5/DHX15/RUVBL1/MCM7/DDX1/EIF4A3/CHD4/MCM2/DDX19B/MCM5",15
"GO:0140674","GO:0140674","ATP-dependent histone chaperone activity","15/260","152/18639",0.0986842105263158,7.07451923076923,8.9438781424876,3.58792085610802e-09,1.50692675956537e-07,1.20275241654147e-07,"DHX9/SNRNP200/DDX17/RUVBL2/DDX39B/DDX5/DHX15/RUVBL1/MCM7/DDX1/EIF4A3/CHD4/MCM2/DDX19B/MCM5",15
"GO:0061775","GO:0061775","cohesin loader activity","15/260","153/18639",0.0980392156862745,7.02828054298643,8.90518784983241,3.92887915939275e-09,1.53226287216317e-07,1.22297441502902e-07,"DHX9/SNRNP200/DDX17/RUVBL2/DDX39B/DDX5/DHX15/RUVBL1/MCM7/DDX1/EIF4A3/CHD4/MCM2/DDX19B/MCM5",15
"GO:0003689","GO:0003689","DNA clamp loader activity","15/260","160/18639",0.09375,6.72079326923077,8.64375406042929,7.27609809281191e-09,2.64849970578353e-07,2.11389797222746e-07,"DHX9/SNRNP200/DDX17/RUVBL2/DDX39B/DDX5/DHX15/RUVBL1/MCM7/DDX1/EIF4A3/CHD4/MCM2/DDX19B/MCM5",15
"GO:0140597","GO:0140597","protein carrier chaperone","16/260","188/18639",0.0851063829787234,6.10114566284779,8.36107432293622,9.21847534137595e-09,3.14580471024454e-07,2.51082157324319e-07,"DHX9/SNRNP200/DDX17/RUVBL2/DDX39B/DDX5/DHX15/RUVBL1/MCM7/DDX1/EIF4A3/CHD4/MCM2/DDX19B/MCM5/ANP32E",16
"GO:0140104","GO:0140104","molecular carrier activity","18/260","249/18639",0.072289156626506,5.1822984244671,7.9022218132194,1.41655928901602e-08,4.54965512825146e-07,3.6313036882516e-07,"DHX9/SNRNP200/DDX17/RUVBL2/DDX39B/DDX5/DHX15/RUVBL1/MCM7/XPO1/DDX1/EIF4A3/CHD4/MCM2/DDX19B/MCM5/ANP32E/NUP214",18
"GO:0001098","GO:0001098","basal transcription machinery binding","9/260","60/18639",0.15,10.7532692307692,8.99994922616487,1.38385866360316e-07,3.97677279119645e-06,3.17405809823661e-06,"DHX9/HNRNPU/RUVBL2/RUVBL1/CCAR2/FBL/NOP58/RPRD1B/ZNF326",9
"GO:0001099","GO:0001099","basal RNA polymerase II transcription machinery binding","9/260","60/18639",0.15,10.7532692307692,8.99994922616487,1.38385866360316e-07,3.97677279119645e-06,3.17405809823661e-06,"DHX9/HNRNPU/RUVBL2/RUVBL1/CCAR2/FBL/NOP58/RPRD1B/ZNF326",9
"GO:0045296","GO:0045296","cadherin binding","19/260","334/18639",0.0568862275449102,4.07808613542146,6.75141064774762,2.51567247559531e-07,6.8677858583752e-06,5.48151792050768e-06,"FLNA/HNRNPK/IDH1/CTNNA1/SCRIB/TMPO/RUVBL1/PFN1/EEF1D/HDLBP/ARHGAP1/PUF60/EIF4H/NOP56/SNX5/RPL29/GOLGA2/BZW2/EPS15L1",19
"GO:0017069","GO:0017069","snRNA binding","8/260","54/18639",0.148148148148148,10.6205128205128,8.42052575795094,7.69148240999762e-07,1.99978542659938e-05,1.59612717681154e-05,"HNRNPU/DDX39B/SF3B3/EFTUD2/SART3/SNRPD3/SNRPA1/PRPF4",8
"GO:0003684","GO:0003684","damaged DNA binding","9/260","74/18639",0.121621621621622,8.71886694386694,7.91311225424377,8.72894162545861e-07,2.16636460340927e-05,1.72908221671764e-05,"XRCC6/PARP1/HMGB1/DDB1/APEX1/RPS3/TP53BP1/FEN1/RPA3",9
"GO:0003724","GO:0003724","RNA helicase activity","9/260","77/18639",0.116883116883117,8.37917082917083,7.71730974615279,1.22855128655292e-06,2.91647392372997e-05,2.32778138504763e-05,"DHX9/SNRNP200/DDX17/DDX39B/DDX5/DHX15/DDX1/EIF4A3/DDX19B",9
