"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1905369","GO:1905369","endopeptidase complex","7/136","98/19880",0.0714285714285714,10.4411764705882,7.77594543307443,4.94893684593455e-06,0.00138075338001574,0.00115648839978681,"HSPB1/CAPN1/PSME1/PSMB9/PSMB4/PSMA4/HTRA2",7
"GO:1905368","GO:1905368","peptidase complex","7/136","129/19880",0.0542635658914729,7.93205654354765,6.55558657273352,2.99963323722118e-05,0.00339714214772534,0.00284537089905687,"HSPB1/CAPN1/PSME1/PSMB9/PSMB4/PSMA4/HTRA2",7
"GO:0101002","GO:0101002","ficolin-1-rich granule","8/136","185/19880",0.0432432432432432,6.32114467408585,6.03478897712496,4.1261853217157e-05,0.00339714214772534,0.00284537089905687,"SERPINB6/GAA/PGM1/CAPN1/DSG1/APEH/LAMP2/CD58",8
"GO:0005688","GO:0005688","U6 snRNP","3/136","11/19880",0.272727272727273,39.8663101604278,10.7011585741786,4.96382608571438e-05,0.00339714214772534,0.00284537089905687,"LSM5/LSM6/LSM3",3
"GO:0101003","GO:0101003","ficolin-1-rich granule membrane","5/136","61/19880",0.0819672131147541,11.9816779170685,7.12921809327705,6.08806836509917e-05,0.00339714214772534,0.00284537089905687,"SERPINB6/GAA/DSG1/LAMP2/CD58",5
"GO:0000502","GO:0000502","proteasome complex","5/136","64/19880",0.078125,11.4200367647059,6.92947594257063,7.67556436476593e-05,0.00356913742961616,0.00298943033154041,"HSPB1/PSME1/PSMB9/PSMB4/PSMA4",5
"GO:0030055","GO:0030055","cell-substrate junction","11/136","434/19880",0.0253456221198157,3.70493358633776,4.72863160206748,0.000199742603515274,0.00791023281698083,0.0066254355229947,"ACTB/ANXA5/LAP3/HSPB1/CAPN1/DMD/SNTB1/NCSTN/ARPC5L/SH3KBP1/PTPN12",11
"GO:0005775","GO:0005775","vacuolar lumen","7/136","178/19880",0.0393258426966292,5.74851288830139,5.28155266537776,0.000226816711598017,0.00791023281698083,0.0066254355229947,"GAA/TPP1/HEBP2/LAMP2/RNASET2/MAN2B2/CREG1",7
"GO:0005839","GO:0005839","proteasome core complex","3/136","20/19880",0.15,21.9264705882353,7.77088555535799,0.000327826227470213,0.0101626130515766,0.00851197923957745,"PSMB9/PSMB4/PSMA4",3
"GO:0030667","GO:0030667","secretory granule membrane","9/136","322/19880",0.0279503105590062,4.08567774936061,4.63303342751225,0.000379888013831458,0.0105988755858977,0.00887738306006144,"SERPINB6/GAA/ANXA4/DSG1/IQGAP2/SPARC/NCSTN/LAMP2/CD58",9
"GO:0043202","GO:0043202","lysosomal lumen","5/136","98/19880",0.0510204081632653,7.45798319327731,5.31892662689604,0.000567891096383419,0.0129566586362848,0.010852209836843,"GAA/TPP1/LAMP2/RNASET2/MAN2B2",5
"GO:0000932","GO:0000932","P-body","5/136","100/19880",0.05,7.30882352941176,5.24909443020282,0.000622759927835365,0.0129566586362848,0.010852209836843,"PSMA4/CARHSP1/LSM1/LSM6/LSM3",5
"GO:0005925","GO:0005925","focal adhesion","10/136","424/19880",0.0235849056603774,3.44755826859046,4.22803271570694,0.00068401296336365,0.0129566586362848,0.010852209836843,"ACTB/ANXA5/LAP3/HSPB1/CAPN1/SNTB1/NCSTN/ARPC5L/SH3KBP1/PTPN12",10
"GO:0005766","GO:0005766","primary lysosome","6/136","155/19880",0.0387096774193548,5.6584440227704,4.83222751882026,0.000696594550337893,0.0129566586362848,0.010852209836843,"GAA/HEBP2/NCSTN/LAMP2/RNASET2/CREG1",6
"GO:0042582","GO:0042582","azurophil granule","6/136","155/19880",0.0387096774193548,5.6584440227704,4.83222751882026,0.000696594550337893,0.0129566586362848,0.010852209836843,"GAA/HEBP2/NCSTN/LAMP2/RNASET2/CREG1",6
"GO:0070820","GO:0070820","tertiary granule","6/136","164/19880",0.0365853658536585,5.34791965566714,4.64026923209397,0.000934813599979917,0.0163008121496498,0.0136531986312856,"SERPINB6/GAA/PGM1/DSG1/LAMP2/CD58",6
"GO:0019774","GO:0019774","proteasome core complex, beta-subunit complex","2/136","11/19880",0.181818181818182,26.5775401069519,7.04232821412994,0.00245389708005742,0.0402727814903541,0.0337315883450618,"PSMB9/PSMB4",2
"GO:0005758","GO:0005758","mitochondrial intermembrane space","4/136","87/19880",0.0459770114942529,6.72075726842461,4.43819607385291,0.00300792706766745,0.0466228695488454,0.0390502812293669,"PARK7/TIMM8B/RNASET2/HTRA2",4
